Date,Channel,Device,Country,Landing_Page_Visits,Added_to_Cart,Checkout_Started,Purchased,View_to_Cart_Rate,Cart_to_Checkout_Rate,Checkout_to_Purchase_Rate,Overall_Conversion_Rate,Revenue
2026-04-23,Referral,Tablet,North America,16980,8376,4964,3169,0.4933,0.5926,0.6384,0.1866,358097
2026-04-24,Paid Search,Mobile,Asia,33150,12741,8037,4820,0.3843,0.6308,0.5997,0.1454,380780
2026-04-25,Email,Desktop,South America,14904,8916,3800,1573,0.5982,0.4262,0.4139,0.1055,158873
2026-04-26,Email,Desktop,South America,29665,16470,11340,5853,0.5552,0.6885,0.5161,0.1973,444828
2026-04-27,Email,Mobile,Asia,15232,8342,4193,1835,0.5477,0.5026,0.4376,0.1205,126615
2026-04-28,Direct,Mobile,Asia,7340,3785,2052,800,0.5157,0.5421,0.3899,0.109,105600
2026-04-29,Email,Tablet,Asia,20032,9326,5873,2612,0.4656,0.6297,0.4447,0.1304,219408
2026-04-30,Organic Search,Mobile,South America,14911,5749,3043,1797,0.3856,0.5293,0.5905,0.1205,132978
2026-05-01,Organic Search,Mobile,Asia,23029,8097,4101,1704,0.3516,0.5065,0.4155,0.074,279456
2026-05-02,Paid Social,Desktop,South America,12656,5906,3160,1254,0.4667,0.535,0.3968,0.0991,134178
2026-05-03,Referral,Tablet,South America,19312,6951,3880,2054,0.3599,0.5582,0.5294,0.1064,98592
2026-05-04,Email,Desktop,Asia,6022,2861,1923,800,0.4751,0.6721,0.416,0.1328,132800
2026-05-05,Referral,Desktop,Asia,22194,13360,7062,3177,0.602,0.5286,0.4499,0.1431,447957
2026-05-06,Direct,Mobile,South America,29290,12177,5434,2493,0.4157,0.4463,0.4588,0.0851,446247
2026-05-07,Paid Social,Mobile,Asia,28514,17519,8207,4536,0.6144,0.4685,0.5527,0.1591,376488
2026-05-08,Paid Search,Mobile,South America,18573,8284,4765,2190,0.446,0.5752,0.4596,0.1179,216810
2026-05-09,Paid Social,Desktop,South America,1928,755,482,277,0.3916,0.6384,0.5747,0.1437,44043
2026-05-10,Direct,Desktop,Europe,21772,9354,3942,2161,0.4296,0.4214,0.5482,0.0993,315506
2026-05-11,Paid Search,Mobile,Europe,7748,4939,2483,1575,0.6375,0.5027,0.6343,0.2033,244125
2026-05-12,Referral,Mobile,North America,19548,9283,6461,3347,0.4749,0.696,0.518,0.1712,461886
2026-05-13,Organic Search,Desktop,Europe,31884,11690,5077,2934,0.3666,0.4343,0.5779,0.092,231786
2026-05-14,Paid Social,Mobile,North America,25781,9135,6367,3398,0.3543,0.697,0.5337,0.1318,699988
2026-05-15,Paid Social,Mobile,Asia,12550,6996,4730,2464,0.5575,0.6761,0.5209,0.1963,487872
2026-05-16,Email,Tablet,North America,21970,11107,5481,3183,0.5056,0.4935,0.5807,0.1449,194163
2026-05-17,Paid Search,Mobile,Asia,4814,1837,1085,476,0.3816,0.5906,0.4387,0.0989,31892
2026-05-18,Referral,Tablet,South America,34221,17328,12112,5910,0.5064,0.699,0.4879,0.1727,283680
2026-05-19,Paid Search,Tablet,South America,26548,13502,6581,4140,0.5086,0.4874,0.6291,0.1559,612720
2026-05-20,Paid Social,Tablet,Europe,16878,10180,6706,3075,0.6032,0.6587,0.4585,0.1822,467400
2026-05-21,Paid Social,Desktop,Europe,16178,5810,2462,972,0.3591,0.4238,0.3948,0.0601,158436
2026-05-22,Email,Tablet,Europe,27274,13592,7710,4067,0.4984,0.5672,0.5275,0.1491,544978
2026-05-23,Referral,Tablet,South America,24100,10505,6003,2841,0.4359,0.5714,0.4733,0.1179,238644
2026-05-24,Organic Search,Desktop,South America,8471,3300,2250,1269,0.3896,0.6818,0.564,0.1498,233496
2026-05-25,Email,Mobile,Asia,13673,6980,3018,1659,0.5105,0.4324,0.5497,0.1213,195762
2026-05-26,Direct,Mobile,Europe,15940,5824,2586,1422,0.3654,0.444,0.5499,0.0892,82476
2026-05-27,Paid Search,Desktop,South America,13278,8511,3578,1666,0.641,0.4204,0.4656,0.1255,141610
2026-05-28,Referral,Tablet,Asia,6181,2655,1694,755,0.4295,0.638,0.4457,0.1221,53605
2026-05-29,Organic Search,Mobile,South America,2460,1458,945,479,0.5927,0.6481,0.5069,0.1947,68018
2026-05-30,Organic Search,Desktop,South America,13553,5890,3987,1883,0.4346,0.6769,0.4723,0.1389,327642
2026-05-31,Email,Desktop,Asia,7232,4496,2379,1074,0.6217,0.5291,0.4515,0.1485,204060
2026-06-01,Paid Search,Mobile,South America,28997,14034,5990,2483,0.484,0.4268,0.4145,0.0856,171327
2026-06-02,Referral,Mobile,Asia,4541,1839,1192,587,0.405,0.6482,0.4924,0.1293,34046
2026-06-03,Referral,Tablet,Europe,30280,12981,6604,3017,0.4287,0.5087,0.4568,0.0996,337904
2026-06-04,Paid Search,Tablet,Europe,8027,5283,3516,2036,0.6582,0.6655,0.5791,0.2536,118088
2026-06-05,Referral,Desktop,Europe,2318,1515,951,493,0.6536,0.6277,0.5184,0.2127,45849
2026-06-06,Organic Search,Tablet,South America,12095,5595,3946,2101,0.4626,0.7053,0.5324,0.1737,254221
2026-06-07,Paid Social,Tablet,North America,20341,10442,5042,2543,0.5133,0.4829,0.5044,0.125,350934
2026-06-08,Email,Mobile,Asia,33358,20888,14780,5857,0.6262,0.7076,0.3963,0.1756,1024975
2026-06-09,Email,Tablet,Europe,24644,11478,7688,4904,0.4658,0.6698,0.6379,0.199,235392
2026-06-10,Organic Search,Tablet,South America,15566,6602,2847,1290,0.4241,0.4312,0.4531,0.0829,228330
2026-06-11,Organic Search,Mobile,Europe,12098,4872,2797,1612,0.4027,0.5741,0.5763,0.1332,285324
2026-06-12,Paid Social,Mobile,Europe,3320,1550,1057,666,0.4669,0.6819,0.6301,0.2006,78588
2026-06-13,Referral,Desktop,North America,32725,17728,9651,3720,0.5417,0.5444,0.3855,0.1137,420360
2026-06-14,Direct,Desktop,North America,11687,6281,3983,1700,0.5374,0.6341,0.4268,0.1455,338300
2026-06-15,Referral,Desktop,North America,20027,7563,3663,1995,0.3776,0.4843,0.5446,0.0996,95760
2026-06-16,Referral,Desktop,South America,29387,18791,11325,4562,0.6394,0.6027,0.4028,0.1552,848532
2026-06-17,Direct,Desktop,Europe,1228,512,247,134,0.4169,0.4824,0.5425,0.1091,22244
2026-06-18,Organic Search,Mobile,Europe,31014,11914,5359,2686,0.3841,0.4498,0.5012,0.0866,201450
2026-06-19,Paid Social,Mobile,Asia,3490,2278,1203,505,0.6527,0.5281,0.4198,0.1447,79790
2026-06-20,Direct,Tablet,North America,34278,18219,8404,3799,0.5315,0.4613,0.452,0.1108,383699
2026-06-21,Organic Search,Tablet,North America,16310,7728,3960,1933,0.4738,0.5124,0.4881,0.1185,220362
2026-06-22,Email,Tablet,Asia,19542,9952,5560,2891,0.5093,0.5587,0.52,0.1479,581091
2026-06-23,Direct,Desktop,Asia,21657,12045,5375,2693,0.5562,0.4462,0.501,0.1243,484740
2026-06-24,Paid Social,Desktop,South America,34928,22159,14589,8995,0.6344,0.6584,0.6166,0.2575,377790
2026-06-25,Paid Search,Desktop,South America,17112,10268,5850,3250,0.6,0.5697,0.5556,0.1899,633750
2026-06-26,Email,Desktop,Asia,2522,1395,930,458,0.5531,0.6667,0.4925,0.1816,95264
2026-06-27,Organic Search,Mobile,North America,16484,7970,5232,2345,0.4835,0.6565,0.4482,0.1423,105525
2026-06-28,Direct,Desktop,South America,20132,10123,5151,3251,0.5028,0.5088,0.6311,0.1615,526662
2026-06-29,Direct,Desktop,South America,4933,3073,2085,999,0.6229,0.6785,0.4791,0.2025,170829
